                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    139,                0.59332,                0.34196,                0.78775,                0.87414,                0.78233,                0.86544,                0.66511,                0.76151,                0.52604,                0.79965,               0.000958,               0.000958,               0.000958
                    140,                0.59126,                0.34675,                0.78352,                 0.8732,                0.78215,                0.86544,                0.66568,                0.76206,                0.52654,                0.79967,               0.000892,               0.000892,               0.000892
                    141,                0.57419,                0.31423,                0.78214,                0.87427,                0.78253,                0.86552,                0.66561,                0.76155,                0.52541,                0.79963,               0.000826,               0.000826,               0.000826
                    142,                0.57039,                0.31175,                0.78054,                 0.8733,                0.78159,                0.86558,                0.66536,                0.76184,                0.52487,                0.79962,                0.00076,                0.00076,                0.00076
                    143,                0.56298,                0.30601,                0.78214,                0.87571,                 0.7812,                0.86547,                0.66537,                0.76199,                0.52499,                0.79956,               0.000694,               0.000694,               0.000694
                    144,                0.56522,                0.30767,                0.78106,                0.87438,                0.78118,                0.86541,                0.66518,                0.76188,                0.52507,                0.79963,               0.000628,               0.000628,               0.000628
                    145,                0.55503,                 0.3021,                0.78198,                0.88107,                0.77787,                 0.8655,                 0.6648,                0.76213,                0.52586,                0.79963,               0.000562,               0.000562,               0.000562
                    146,                0.55157,                0.29944,                0.78118,                 0.8826,                0.77765,                0.86538,                0.66416,                0.76305,                0.52608,                0.79966,               0.000496,               0.000496,               0.000496
                    147,                0.55535,                0.30122,                0.78174,                0.87885,                0.77803,                0.86546,                0.66515,                0.76303,                0.52699,                0.79966,                0.00043,                0.00043,                0.00043
                    148,                0.55466,                0.29923,                 0.7811,                 0.8841,                0.77588,                0.86545,                0.66508,                0.76329,                 0.5271,                0.79963,               0.000364,               0.000364,               0.000364
                    149,                0.54735,                0.29549,                0.77705,                0.87915,                0.77881,                0.86575,                0.66489,                 0.7637,                0.52754,                0.79958,               0.000298,               0.000298,               0.000298
                    150,                0.53971,                0.29326,                0.77766,                0.87713,                0.77742,                0.86545,                0.66532,                0.76355,                0.52674,                 0.7995,               0.000232,               0.000232,               0.000232
