                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 0.8894,                0.86729,                0.81508,                0.69132,                0.61191,                0.67764,                0.50833,                0.80273,                0.76837,                0.80828,               0.007723,               0.007723,               0.007723
                     72,                0.88994,                0.85951,                0.81615,                0.69995,                0.62092,                 0.6862,                0.51365,                0.80315,                0.76359,                0.80863,                0.00769,                0.00769,                0.00769
                     73,                0.89551,                0.86339,                0.81731,                0.70074,                 0.6186,                 0.6867,                0.51238,                 0.8035,                0.76308,                 0.8074,               0.007657,               0.007657,               0.007657
                     74,                0.89695,                0.87761,                 0.8156,                0.69908,                  0.628,                0.69146,                 0.5194,                0.80335,                0.75003,                0.80779,               0.007624,               0.007624,               0.007624
                     75,                0.89742,                0.85038,                0.81746,                0.67218,                0.64113,                 0.6902,                0.51724,                0.80448,                 0.7514,                0.80828,               0.007591,               0.007591,               0.007591
                     76,                0.89762,                0.86331,                  0.814,                0.70601,                0.62639,                0.69662,                0.52293,                0.80402,                0.75099,                  0.809,               0.007558,               0.007558,               0.007558
                     77,                0.88923,                0.84932,                0.81618,                0.68597,                0.64457,                0.69809,                0.52336,                0.80373,                0.74705,                0.80841,               0.007525,               0.007525,               0.007525
                     78,                0.88698,                0.84085,                0.81766,                0.70295,                0.64778,                0.70042,                0.52541,                0.80151,                 0.7454,                0.80883,               0.007492,               0.007492,               0.007492
                     79,                0.89158,                0.84545,                0.81698,                0.71466,                0.63245,                 0.6981,                0.52346,                 0.8036,                0.74845,                0.80917,               0.007459,               0.007459,               0.007459
                     80,                0.88699,                0.83814,                0.81981,                0.70467,                0.64707,                0.70376,                0.52754,                0.80014,                0.74066,                0.80864,               0.007426,               0.007426,               0.007426
                     81,                0.88183,                0.82089,                0.81671,                0.72224,                0.62372,                0.70235,                0.52772,                0.79674,                0.73968,                0.80827,               0.007393,               0.007393,               0.007393
                     82,                0.88644,                0.81987,                0.81712,                0.72699,                0.63277,                0.70494,                0.52957,                0.79578,                0.73927,                0.80728,                0.00736,                0.00736,                0.00736
                     83,                0.87741,                0.82606,                0.81531,                0.74334,                0.62568,                0.70979,                0.53427,                0.79386,                0.72875,                0.80683,               0.007327,               0.007327,               0.007327
                     84,                0.88457,                0.83018,                 0.8156,                0.70719,                0.65431,                0.71085,                0.53493,                0.79393,                0.72962,                0.80681,               0.007294,               0.007294,               0.007294
                     85,                0.87994,                0.81805,                0.81561,                 0.7041,                0.65624,                0.71431,                0.53607,                 0.7923,                0.73072,                0.80703,               0.007261,               0.007261,               0.007261
                     86,                0.88312,                 0.8124,                0.81576,                0.71517,                0.65808,                0.71883,                0.54063,                0.79349,                 0.7242,                0.80701,               0.007228,               0.007228,               0.007228
